Group Code,Client Code,Commodity Code,Market Code,Exchange,Exchange Instrument Code,Future/Option,Put/Call,Delivery Month/Year,Bought or Sold,Quantity,Trade Date,Transaction Currency,Transaction Base Currency,Transaction Currency Classification,Exercise Price,Trade Price,Current Price,Variation Margin Amount,Option P&L,Last day of trading (expiry date),Settlement Timing,Input Date,ASX Code,Instrument Type,Con Input Date,Client Deal Id,Portfolio Code,Pending Delivery Contract Flag,Delivery Date,Con Reference Number,Exercise Style,Tick Value,Tick Size,Contract Size,Executing Broker,Trading Venue,Badge Id,Delta,Broker Code,Commodity Name,Market Name,Exchange Instrument Code Reporting,Market Zone,Historic Value
G111500M,G1115000,F715,EEX,EE ,               ,F, ,2504,S,30,14/04/25,EUR,EUR,Segregated,                     ,19,16.83,1562.4,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414169030,A,0,0.01,1,GFI  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,European Energy Exchange           ,F715           ,EUROPE  ,13680
G111500M,G1115000,F715,EEX,EE ,               ,F, ,2504,S,25,14/04/25,EUR,EUR,Segregated,                     ,18,16.83,702,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414173270,A,0,0.01,1,TFSLO,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,European Energy Exchange           ,F715           ,EUROPE  ,10800
G111500M,G1115000,F715,EEX,EE ,               ,F, ,2504,S,25,14/04/25,EUR,EUR,Segregated,                     ,19,16.83,1302,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414173830,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,European Energy Exchange           ,F715           ,EUROPE  ,11400
G111500M,G1115000,F718,EEX,EE ,F71            ,F, ,2504,S,75,14/04/25,EUR,EUR,Segregated,                     ,43,34.5,15300,                     ,17/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414186427,A,0,0.01,1,TRAY ,EL,          ,1,MLOECCLT,EEX FRENCH POWER BASE DAY 18 FUTURE                                    ,European Energy Exchange           ,F718           ,EUROPE  ,77400
G111500M,G1115000,F7B3,EEX,EE ,F7B            ,F, ,2504,B,2,10/4/2025,EUR,EUR,Segregated,                     ,33,30.76,-752.64,                     ,17/04/25,C,14/04/25,      ,F,10/4/2025,0ECC                 , , ,        ,0413774172,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 3 FUTURE                                    ,European Energy Exchange           ,F7B3           ,EUROPE  ,-11088
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,5,14/04/25,EUR,EUR,Segregated,                     ,32.5,36.66,-3494.4,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414151109,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,27300
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,5,14/04/25,EUR,EUR,Segregated,                     ,34,36.66,-2234.4,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414158616,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,28560
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,10,14/04/25,EUR,EUR,Segregated,                     ,35,36.66,-2788.8,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414158951,A,0,0.01,1,TRAY ,EL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,58800
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,5,14/04/25,EUR,EUR,Segregated,                     ,35.7,36.66,-806.4,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414160332,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,29988
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,25,14/04/25,EUR,EUR,Segregated,                     ,32.25,36.66,-18522,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414162519,A,0,0.01,1,GFI  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,135450
